OPEID,INSTNM,CITY,STABBR,ZIP,SCH_DEG,PREDDEG,HIGHDEG,ST_FIPS,REGION,HBCU,PBI,MENONLY,WOMENONLY,ADM_RATE,ADM_RATE_ALL,UGDS_MEN,UGDS_WOMEN,COMP_ORIG_YR8_RT,OMAWDP8_ALL_POOLED_SUPP,OMAWDP8_PELL_ALL_POOLED_SUPP,C150_4_POOLED_SUPP,C150_L4_POOLED_SUPP,C150_4_PELL_POOLED_SUPP,C150_L4_PELL_POOLED_SUPP,COSTT4_A
00195900,Campbellsville University,Campbellsville,KY,42718-2799,3,3,4,21,5,0,0,0,0,NA,NA,0.4092,0.5908,0.323369565217,0.392,0.3672,0.3834,NA,0.3741,NA,40775
00524400,Bluegrass Community and Technical College,Lexington,KY,40506,1,1,2,21,5,0,0,0,0,NA,NA,0.4049,0.5951,0.168817204301,0.2582,0.2346,NA,0.3472,NA,0.3242,12437
00196100,Centre College,Danville,KY,40422-1394,3,3,3,21,5,0,0,0,0,0.6285,0.62848751835535,0.4833,0.5167,0.769874476987,0.8354,0.7667,0.8656,NA,0.8162,NA,60700
02535600,Clear Creek Baptist Bible College,Pineville,KY,40977-9752,3,3,4,21,5,0,0,0,0,NA,NA,0.8333,0.1667,0.439024390244,0.2647,0.3175,0.3421,NA,0.3429,NA,15723
00196200,University of the Cumberlands,Williamsburg,KY,40769,3,3,4,21,5,0,0,0,0,0.8302,0.83016421780466,0.3307,0.6693,0.403470715835,0.651,0.6349,0.462,NA,0.4862,NA,24278
00196300,Eastern Kentucky University,Richmond,KY,40475-3102,3,3,4,21,5,0,0,0,0,0.6431,0.64306933822135,0.4078,0.5922,0.459901800327,0.4773,0.4084,0.4847,NA,0.3894,NA,21228
00199100,Elizabethtown Community and Technical College,Elizabethtown,KY,42701-3081,1,1,2,21,5,0,0,0,0,NA,NA,0.4009,0.5991,0.173862310385,0.3118,0.2769,NA,0.4186,NA,0.3707,12591
00196400,Georgetown College,Georgetown,KY,40324-1696,3,3,4,21,5,0,0,0,0,0.7152,0.71524486571879,0.4659,0.5341,0.486725663717,0.4984,0.4244,0.5112,NA,0.3677,NA,55456
00696200,Hazard Community and Technical College,Hazard,KY,41701-2402,1,1,2,21,5,0,0,0,0,NA,NA,0.3611,0.6389,0.235764235764,0.3503,0.3218,NA,0.4401,NA,0.4291,11869
00199300,Henderson Community College,Henderson,KY,42420-4699,1,1,2,21,5,0,0,0,0,NA,NA,0.2212,0.7788,0.228464419476,0.2782,0.2504,NA,0.329,NA,0.2603,12028
00199400,Hopkinsville Community College,Hopkinsville,KY,42240,1,1,2,21,5,0,0,0,0,NA,NA,0.3291,0.6709,0.176278563656,0.2958,0.2861,NA,0.3948,NA,0.3769,13178
00696100,Jefferson Community and Technical College,Louisville,KY,40202,1,1,2,21,5,0,0,0,0,NA,NA,0.4249,0.5751,0.143982960596,0.2191,0.2106,NA,0.3284,NA,0.2877,12981
01048900,American National University-Pikeville,Pikeville,KY,41501-1520,2,2,4,21,5,0,0,0,0,NA,NA,0.0526,0.9474,0.264150943396,0.2673,0.2644,0.3125,NA,0.2766,NA,21562
03002100,Kentucky Mountain Bible College,Jackson,KY,41339,3,3,3,21,5,0,0,0,0,0.45,0.45,0.6479,0.3521,PS,0.3902,0.4815,0.6,NA,0.4857,NA,16340
00196800,Kentucky State University,Frankfort,KY,40601-2355,3,3,4,21,5,1,0,0,0,0.915,0.91498257839721,0.3961,0.6039,0.256302521008,0.3582,0.3344,0.3478,NA,0.3369,NA,21223
00196900,Kentucky Wesleyan College,Owensboro,KY,42301,3,3,3,21,5,0,0,0,0,0.6855,0.68549511854951,0.5026,0.4974,0.345864661654,0.4513,0.4103,0.472,NA,0.3956,NA,41058
00198900,University of Kentucky,Lexington,KY,40506-0032,3,3,4,21,5,0,0,0,0,0.9489,0.94888959247365,0.4219,0.5781,0.584846093133,0.6539,0.5461,0.6846,NA,0.5503,NA,30635
00196500,Kentucky Christian University,Grayson,KY,41143-1199,3,3,4,21,5,0,0,0,0,0.4439,0.44389438943894,0.6853,0.3147,0.338912133891,0.3234,0.28,0.3308,NA,0.3014,NA,37121
00197200,Lindsey Wilson College,Columbia,KY,42728-1223,3,3,4,21,5,0,0,0,0,NA,NA,0.4484,0.5516,0.38875,0.4997,0.4728,0.3863,NA,0.3438,NA,38653
00199900,University of Louisville,Louisville,KY,40292-0001,3,3,4,21,5,0,0,0,0,0.8154,0.81541844522054,0.4451,0.5549,0.492341356674,0.568,0.498,0.6232,NA,0.5159,NA,29595
00901000,Madisonville Community College,Madisonville,KY,42431,1,1,2,21,5,0,0,0,0,NA,NA,0.3164,0.6836,0.289079229122,0.4519,0.404,NA,0.5461,NA,0.522,12614
00696000,Maysville Community and Technical College,Maysville,KY,41056,1,1,2,21,5,0,0,0,0,NA,NA,0.3276,0.6724,0.252951096121,0.3652,0.3628,NA,0.481,NA,0.453,11891
00197500,Midway University,Midway,KY,40347-1120,3,3,4,21,5,0,0,0,0,0.9376,0.9375591296121,0.3774,0.6226,0.364406779661,0.4874,0.4617,0.4815,NA,0.4421,NA,40723
00197600,Morehead State University,Morehead,KY,40351,3,3,4,21,5,0,0,0,0,0.8397,0.83971684995575,0.3873,0.6127,0.442514052121,0.483,0.4148,0.4595,NA,0.3675,NA,21837
00197700,Murray State University,Murray,KY,42071-3318,3,3,4,21,5,0,0,0,0,0.8398,0.83982050531655,0.3865,0.6135,0.492605813361,0.5661,0.466,0.5718,NA,0.4462,NA,21641
00527300,Gateway Community and Technical College,Florence,KY,41042,1,1,2,21,5,0,0,0,0,NA,NA,0.4442,0.5558,0.216783216783,0.4061,0.3635,NA,0.5137,NA,0.4644,13362
00927500,Northern Kentucky University,Highland Heights,KY,41099,3,3,4,21,5,0,0,0,0,0.8601,0.86010137581462,0.411,0.589,0.443591455274,0.4953,0.4058,0.489,NA,0.3545,NA,18899
00197900,West Kentucky Community and Technical College,Paducah,KY,42001,1,1,2,21,5,0,0,0,0,NA,NA,0.3351,0.6649,0.277022653722,0.4272,0.4043,NA,0.4952,NA,0.4784,12869
00198000,University of Pikeville,Pikeville,KY,41501,3,3,4,21,5,0,0,0,0,NA,NA,0.4491,0.5509,0.341968911917,0.5568,0.5169,0.3323,NA,0.2947,NA,34523
00199600,Big Sandy Community and Technical College,Prestonsburg,KY,41653,1,1,2,21,5,0,0,0,0,NA,NA,0.3978,0.6022,0.189967105263,0.2698,0.2644,NA,0.3011,NA,0.2857,12474
