JURISDICTION,COUNTY,YEAR,POPULATION,MURDER,RAPE,ROBBERY,AGG. ASSAULT,B & E,LARCENY THEFT,M/V THEFT,GRAND TOTAL,VIOLENT CRIME TOTAL,PROPERTY CRIME TOTALS
Edmonston,Prince George's,2020,1497,2,0,2,6,1,27,14,52,10,42
Elkton,Cecil,2019,15622,0,12,39,108,111,898,55,1223,159,1064
Elkton,Cecil,2020,15639,0,13,22,118,80,647,48,928,153,775
Emmittsburg,Frederick,2019,3198,0,0,0,2,0,4,0,6,2,4
Emmittsburg,Frederick,2020,3243,0,0,0,3,0,3,0,6,3,3
Fairmount Heights,Prince George's,2019,1522,3,0,5,2,11,23,8,52,10,42
Fairmount Heights,Prince George's,2020,1530,0,1,4,5,10,12,2,34,10,24
Federalsburg,Caroline,2019,2661,1,2,3,8,15,49,3,81,14,67
Federalsburg,Caroline,2020,2653,0,2,0,14,10,46,11,83,16,67
Forest Heights,Prince George's,2019,2564,2,0,4,3,2,11,11,33,9,24
Forest Heights,Prince George's,2020,2574,0,0,6,5,6,26,15,58,11,47
Frederick,Frederick,2019,72244,2,38,55,214,209,1136,56,1710,309,1401
Frederick,Frederick,2020,73041,0,1,2,12,33,103,5,156,15,141
Friendship Heights,Montgomery,2019,4785,0,3,0,0,4,29,1,37,3,34
Friendship Heights,Montgomery,2020,4785,0,0,0,0,0,0,0,0,0,0
Friendsville,Garrett,2019,479,0,0,0,0,0,2,0,2,0,2
Friendsville,Garrett,2020,564,0,0,0,1,0,3,0,4,1,3
Frostburg,Allegany,2019,8505,0,0,4,10,28,114,11,167,14,153
Frostburg,Allegany,2020,8451,0,1,2,12,33,103,5,156,15,141
Fruitland,Wicomico,2019,5304,0,2,0,13,17,209,3,244,15,229
Fruitland,Wicomico,2020,5362,0,2,1,16,4,155,1,179,19,160
Funkstown,Washington,2019,871,0,0,1,7,5,4,0,17,8,9
Funkstown,Washington,2020,959,0,0,0,3,3,11,1,18,3,15
Gaithersburg,Montgomery,2019,67985,0,30,28,53,70,936,63,1180,111,1069
Gaithersburg,Montgomery,2020,68917,1,34,33,103,103,1080,81,1435,171,1264
Galena,Kent,2019,597,0,0,0,0,0,0,0,0,0,0
Garrett Park,Montgomery,2019,1049,0,0,0,0,1,3,1,5,0,5
Garrett Park,Montgomery,2020,873,0,0,0,0,0,12,0,12,0,12
Glen Echo,Montgomery,2019,270,0,0,0,0,0,3,0,3,0,3
Glen Echo,Montgomery,2020,309,0,0,0,0,0,3,0,3,0,3
Glenarden,Prince George's,2019,6143,0,1,0,3,4,42,8,58,4,54
Glenarden,Prince George's,2020,6177,1,0,5,4,2,41,14,67,10,57
Grantsville,Garrett,2019,865,0,1,0,3,1,5,0,10,4,6
Grantsville,Garrett,2020,862,1,1,0,1,3,2,0,8,3,5
Greenbelt,Prince George's,2019,23224,1,3,41,65,63,588,75,836,110,726
Greenbelt,Prince George's,2020,23342,3,10,54,75,71,613,69,895,142,753
Greensboro,Caroline,2019,1877,0,0,0,3,12,32,2,49,3,46
Greensboro,Caroline,2020,1874,0,2,1,3,6,16,1,29,6,23
Hagerstown,Washington,2019,40100,3,24,82,110,239,635,108,1201,219,982
Hagerstown,Washington,2020,40136,6,25,73,126,202,647,98,1177,230,947
Hampstead,Carroll,2019,6401,0,0,0,7,12,19,0,38,7,31
Hampstead,Carroll,2020,6410,0,1,0,2,4,21,1,29,3,26
Hancock,Washington,2019,1529,0,0,1,7,4,13,0,25,8,17
Hancock,Washington,2020,1526,0,1,0,2,1,27,1,32,3,29
Havre de Grace,Harford,2019,14018,0,3,7,26,19,145,1,201,36,165
Havre de Grace,Harford,2020,14132,0,1,2,12,14,147,6,182,15,167
Hebron,Wicomico,2019,1096,0,0,0,0,2,6,0,8,0,8
Hebron,Wicomico,2020,1110,0,0,0,0,0,1,0,1,0,1
Hurlock,Dorchester,2019,2024,0,0,0,2,6,68,7,83,2,81
Hurlock,Dorchester,2020,2015,0,1,0,2,14,54,8,79,3,76
Hyattsville,Prince George's,2019,18230,4,3,53,25,54,996,62,1197,85,1112
Hyattsville,Prince George's,2020,18304,0,4,45,49,77,633,65,873,98,775
Indian Head,Charles,2019,3802,0,5,10,14,10,49,0,88,29,59
Indian Head,Charles,2020,3822,0,1,2,14,7,18,4,46,17,29
Keedysville,Washington,2019,1221,0,1,0,3,0,0,0,4,4,0
Keedysville,Washington,2020,1070,0,0,0,1,0,2,0,3,1,2
Kensington,Montgomery,2019,2329,0,0,1,0,10,38,12,61,1,60
Kensington,Montgomery,2020,2098,0,2,1,0,6,61,1,71,3,68
Kitzmiller,Garrett,2019,303,0,1,0,2,0,4,0,7,3,4
Kitzmiller,Garrett,2020,234,0,0,0,3,1,1,0,5,3,2
Landover Hills,Prince George's,2019,1636,1,0,6,2,3,64,10,86,9,77
Landover Hills,Prince George's,2020,1642,0,0,6,5,8,69,16,104,11,93
LaPlata,Charles,2019,9631,0,4,10,42,20,306,11,393,56,337
LaPlata,Charles,2020,9728,0,6,16,42,16,273,18,371,64,307
Laurel,Prince George's,2019,25631,1,8,51,63,69,739,79,1010,123,887
Laurel,Prince George's,2020,25704,0,11,35,60,41,604,65,816,106,710
Laytonsville,Montgomery,2019,381,0,0,0,0,0,2,0,2,0,2
Laytonsville,Montgomery,2020,456,0,2,0,0,3,1,0,6,2,4
Leonardtown,St. Mary's,2019,3824,0,1,4,0,9,65,5,84,5,79
Leonardtown,St. Mary's,2020,3927,0,2,0,3,11,40,3,59,5,54
Loch Lynn Heights,Garrett,2019,530,0,1,0,3,4,1,0,9,4,5
Loch Lynn Heights,Garrett,2020,494,0,0,0,1,1,6,0,8,1,7
Lonaconing,Allegany,2019,1142,0,0,0,0,0,0,0,0,0,0
Lonaconing,Allegany,2020,1142,0,0,0,0,0,0,0,0,0,0
Manchester,Carroll,2019,4851,0,0,0,0,1,10,0,11,0,11
Manchester,Carroll,2020,4855,0,0,0,0,2,9,0,11,0,11
Mardela Springs,Wicomico,2019,351,0,0,0,0,0,2,0,2,0,2
Martin's Addition,Montgomery,2019,993,0,0,1,0,5,9,0,15,1,14
Martin's Addition,Montgomery,2020,1043,0,1,1,0,1,4,2,9,2,7
Marydel,Caroline,2019,134,0,0,0,0,0,0,0,0,0,0
Marydel,Caroline,2020,134,0,0,0,0,0,0,0,0,0,0
Middletown,Frederick,2019,4792,0,0,0,3,0,6,0,9,3,6
Middletown,Frederick,2020,4609,1,0,0,3,0,1,0,5,4,1
Midland,Allegany,2019,428,0,0,0,0,0,0,0,0,0,0
Midland,Allegany,2020,428,0,0,0,0,0,0,0,0,0,0
Morningside,Prince George's,2019,1279,0,1,5,3,1,25,1,36,9,27
Morningside,Prince George's,2020,1286,0,0,1,3,4,18,2,28,4,24
Mount Rainier,Prince George's,2019,8093,1,1,19,12,24,199,32,288,33,255
Mount Rainier,Prince George's,2020,8126,0,2,32,21,17,152,31,255,55,200
Mountain Lake Park,Garrett,2019,2074,0,0,0,11,2,19,1,33,11,22
Mountain Lake Park,Garrett,2020,2184,0,0,1,6,4,25,1,37,7,30
Mt. Airy,Carroll,2019,9458,0,0,0,7,15,96,4,122,7,115
Mt. Airy,Carroll,2020,9476,1,0,0,6,7,81,0,95,7,88
Myersville,Washington,2019,1838,0,0,0,1,0,0,0,1,1,0
Myersville,Washington,2020,1838,0,0,0,0,0,0,0,0,0,0
New Carrollton,Prince George's,2019,12928,0,2,10,21,19,118,28,198,33,165
New Carrollton,Prince George's,2020,12990,1,1,9,18,19,106,23,177,29,148
New Market,Frederick,2019,728,0,0,0,0,0,0,0,0,0,0
New Market,Frederick,2020,728,0,0,0,0,0,0,0,0,0,0
New Windsor,Carroll,2019,1398,0,1,1,5,5,22,1,35,7,28
New Windsor,Carroll,2020,1399,0,0,0,0,5,14,0,19,0,19
North Beach,Calvert,2019,2039,0,0,0,2,2,8,1,13,2,11
North Beach,Calvert,2020,2046,0,1,2,4,7,13,1,28,7,21
North Brentwood,Prince George's,2019,543,0,0,0,0,0,0,0,0,0,0
North Brentwood,Prince George's,2020,543,0,0,0,0,0,0,0,0,0,0
North Chevy Chase,Montgomery,2019,595,0,1,0,0,4,21,1,27,1,26
North Chevy Chase,Montgomery,2020,591,0,0,0,0,0,10,1,11,0,11
North East,Cecil,2019,3642,0,0,6,7,20,63,6,102,13,89
North East,Cecil,2020,3648,0,0,1,18,19,100,4,142,19,123
Oakland,Garrett,2019,1815,0,3,0,10,3,130,0,146,13,133
Oakland,Garrett,2020,1806,0,1,0,7,6,91,5,110,8,102
Ocean City,Worcester,2019,6944,0,5,18,68,94,615,11,811,91,720
Ocean City,Worcester,2020,6926,0,18,31,117,125,699,16,1006,166,840
Oxford,Talbot,2019,606,0,0,0,0,2,1,0,3,0,3
Oxford,Talbot,2020,606,0,0,0,0,0,0,0,0,0,0
Perryville,Cecil,2019,4419,0,0,2,13,13,68,2,98,15,83
Perryville,Cecil,2020,4428,0,0,1,8,13,90,1,113,9,104
Pittsville,Wicomico,2019,1474,0,0,1,1,1,8,0,11,2,9
Pittsville,Wicomico,2020,1547,0,0,0,0,1,1,1,3,0,3
Pocomoke City,Worcester,2019,4088,0,1,2,0,15,89,2,109,3,106
Pocomoke City,Worcester,2020,4078,1,5,0,6,11,85,2,110,12,98
Poolesville,Montgomery,2019,5244,0,1,0,0,5,24,1,31,1,30
Poolesville,Montgomery,2020,5191,0,2,2,3,6,10,0,23,7,16
Port Deposit,Cecil,2019,763,0,0,0,2,2,2,1,7,2,5
Port Deposit,Cecil,2020,763,0,0,0,0,0,2,0,2,0,2
Princess Anne,Somerset,2019,3513,0,4,6,18,46,132,0,206,28,178
Princess Anne,Somerset,2020,3535,0,5,6,36,24,118,4,193,47,146
